country,region,happiness_rank,happiness_score,standard_error,gdp_per_capita,social_support,healthy_life_expectancy,freedom,corruption_perception,generosity,dystopia_residual,year,whisker_low,whisker_high,continent
Malaysia,,42,6.08400011062622,,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.0656007081270218,0.416608929634094,2.00444889068604,2017,5.98802058473229,6.17997963652015,Asia
Nicaragua,,43,6.07100009918213,,0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,0.130687981843948,0.301674216985703,2.51393055915833,2017,5.95541659802198,6.18658360034227,Americas
Ecuador,,44,6.00799989700317,,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.140134647488594,0.150112465023994,2.29035258293152,2017,5.91015211865306,6.10584767535329,Americas
El Salvador,,45,6.00299978256226,,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0899809598922729,0.0782579854130745,2.7145938873291,2017,5.89736444279552,6.108635122329,Americas
Poland,,46,5.97300004959106,,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.0593078061938286,0.158465966582298,1.79772281646729,2017,5.89209175795317,6.05390834122896,Europe
Italy,,48,5.96400022506714,,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.0280280914157629,0.17278964817524,1.81331205368042,2017,5.88526354417205,6.04273690596223,Europe
Japan,,51,5.92000007629395,,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,1.36322355270386,2017,5.84928070798516,5.99071944460273,Asia
Algeria,,53,5.87200021743774,,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.146096110343933,0.0694366469979286,2.56760382652283,2017,5.76571400120854,5.97828643366694,Africa
Romania,,57,5.82499980926514,,1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,0.00438790069893,0.133519917726517,2.17683148384094,2017,5.73030546173453,5.91969415679574,Europe
Bolivia,,58,5.82299995422363,,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.0604777261614799,0.22556072473526,2.44327902793884,2017,5.74202300593257,5.9039769025147,Americas
Slovenia,,62,5.75799989700317,,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,0.0451289787888527,0.242649093270302,1.31331729888916,2017,5.67377463400364,5.84222516000271,Europe
Peru,,63,5.71500015258789,,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,0.0470490865409374,0.126819714903831,2.20726943016052,2017,5.61805352658033,5.81194677859545,Americas
Mauritius,,64,5.62900018692017,,1.18939554691315,1.20956099033356,0.638007462024689,0.491247326135635,0.0421815551817417,0.360933750867844,1.6975839138031,2017,5.52813818216324,5.72986219167709,Africa
Libya,,68,5.52500009536743,,1.10180306434631,1.35756433010101,0.520169019699097,0.465733230113983,0.0926102101802826,0.152073666453362,1.83501124382019,2017,5.37304638385773,5.67695380687714,Africa
Turkey,,69,5.5,,1.19827437400818,1.33775317668915,0.637605607509613,0.300740599632263,0.0996715798974037,0.0466930419206619,1.87927794456482,2017,5.40513503670692,5.59486496329308,Europe
Paraguay,,70,5.49300003051758,,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.091065913438797,0.224150657653809,1.6853334903717,2017,5.40861879140139,5.57738126963377,Americas
Philippines,,72,5.42999982833862,,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.0993318930268288,0.193513423204422,1.97260475158691,2017,5.31466460242867,5.54533505424857,Asia
Serbia,,73,5.39499998092651,,1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,0.0409037806093693,0.220125883817673,1.94708442687988,2017,5.29843030571938,5.49156965613365,Europe
Jordan,,74,5.33599996566772,,0.991012394428253,1.23908889293671,0.604590058326721,0.418421149253845,0.11980327218771,0.172170460224152,1.79117655754089,2017,5.22358990892768,5.44841002240777,Asia
Hungary,,75,5.32399988174438,,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,1.71645927429199,2017,5.24496005430818,5.40303970918059,Europe
